pressurec2,energy_densityc2,baryon_density
9.051890E-10,2.800000E-01,2.800000E-01
1.545530E-09,3.924759E-01,3.924759E-01
2.638855E-09,5.501333E-01,5.501333E-01
4.505610E-09,7.711217E-01,7.711216E-01
7.692929E-09,1.080881E+00,1.080881E+00
1.313499E-08,1.515070E+00,1.515070E+00
2.242683E-08,2.123674E+00,2.123674E+00
3.829182E-08,2.976752E+00,2.976752E+00
6.537989E-08,4.172513E+00,4.172513E+00
1.116303E-07,5.848610E+00,5.848609E+00
1.905989E-07,8.197994E+00,8.197994E+00
3.254307E-07,1.149113E+01,1.149112E+01
5.556440E-07,1.610711E+01,1.610710E+01
9.487127E-07,2.257732E+01,2.257732E+01
1.619843E-06,3.164663E+01,3.164662E+01
2.765737E-06,4.435907E+01,4.435906E+01
4.722251E-06,6.217809E+01,6.217808E+01
8.062824E-06,8.715500E+01,8.715499E+01
1.376656E-05,1.221651E+02,1.221651E+02
2.350517E-05,1.712388E+02,1.712388E+02
4.013299E-05,2.400254E+02,2.400254E+02
6.852351E-05,3.364436E+02,3.364434E+02
1.169978E-04,4.715929E+02,4.715927E+02
1.997634E-04,6.610316E+02,6.610312E+02
3.410782E-04,9.265678E+02,9.265672E+02
5.823607E-04,1.298770E+03,1.298769E+03
9.943292E-04,1.820486E+03,1.820484E+03
1.697729E-03,2.551775E+03,2.551772E+03
2.898721E-03,3.576822E+03,3.576817E+03
4.949308E-03,5.013632E+03,5.013623E+03
8.450504E-03,7.027609E+03,7.027594E+03
1.442849E-02,9.850601E+03,9.850576E+03
2.463536E-02,1.380759E+04,1.380755E+04
4.206268E-02,1.935411E+04,1.935404E+04
7.181829E-02,2.712867E+04,2.712854E+04
1.226234E-01,3.802628E+04,3.802607E+04
2.093685E-01,5.330149E+04,5.330113E+04
3.574781E-01,7.471278E+04,7.471217E+04
6.103620E-01,1.047251E+05,1.047240E+05
1.042139E+00,1.467934E+05,1.467916E+05
1.779360E+00,2.057608E+05,2.057578E+05
3.038099E+00,2.884158E+05,2.884106E+05
5.187283E+00,4.042739E+05,4.042650E+05
8.856825E+00,5.666732E+05,5.666581E+05
1.512224E+01,7.943103E+05,7.942844E+05
2.581988E+01,1.113392E+06,1.113348E+06
4.408516E+01,1.560655E+06,1.560580E+06
7.527149E+01,2.187593E+06,2.187464E+06
1.285194E+02,3.066387E+06,3.066167E+06
2.194354E+02,4.298221E+06,4.297846E+06
3.746665E+02,6.024930E+06,6.024288E+06
6.397097E+02,8.445338E+06,8.444243E+06
1.092248E+03,1.183816E+07,1.183629E+07
1.864916E+03,1.659412E+07,1.659093E+07
3.184178E+03,2.326094E+07,2.325549E+07
4.988886E+03,3.261458E+07,3.259722E+07
7.705431E+03,4.571832E+07,4.569151E+07
1.190119E+04,6.408719E+07,6.404577E+07
1.838161E+04,8.983690E+07,8.977293E+07
2.839075E+04,1.259335E+08,1.258347E+08
4.385006E+04,1.765350E+08,1.763824E+08
6.772727E+04,2.474709E+08,2.472352E+08
1.046061E+05,3.469135E+08,3.465494E+08
1.615661E+05,4.863205E+08,4.857582E+08
2.495419E+05,6.817556E+08,6.808871E+08
3.854223E+05,9.557406E+08,9.543992E+08
5.952921E+05,1.339853E+09,1.337781E+09
9.194402E+05,1.878367E+09,1.875167E+09
1.420093E+06,2.633363E+09,2.628421E+09
2.193361E+06,3.691890E+09,3.684257E+09
3.387688E+06,5.176012E+09,5.164221E+09
5.232350E+06,7.256897E+09,7.238687E+09
8.081465E+06,1.017459E+10,1.014646E+10
1.248198E+07,1.426574E+10,1.422230E+10
1.927866E+07,2.000248E+10,1.993539E+10
2.977625E+07,2.804705E+10,2.794342E+10
4.599000E+07,3.932835E+10,3.916829E+10
7.103244E+07,5.514939E+10,5.490217E+10
1.097110E+08,7.733818E+10,7.695635E+10
1.694507E+08,1.084594E+11,1.078697E+11
2.617199E+08,1.521118E+11,1.512009E+11
4.042314E+08,2.133451E+11,2.119383E+11
6.243431E+08,2.992467E+11,2.970738E+11
9.047688E+08,4.140132E+11,4.164082E+11
1.116325E+09,5.807242E+11,5.836792E+11
1.377348E+09,8.144969E+11,8.181429E+11
1.699405E+09,1.142292E+12,1.146791E+12
2.096766E+09,1.601906E+12,1.607456E+12
2.587040E+09,2.246322E+12,2.253170E+12
3.653644E+09,3.168505E+12,3.158268E+12
5.777304E+09,4.443130E+12,4.426943E+12
9.135331E+09,6.230839E+12,6.205244E+12
1.444519E+10,8.738360E+12,8.697889E+12
2.284138E+10,1.225582E+13,1.219183E+13
3.611781E+10,1.719047E+13,1.708928E+13
5.711109E+10,2.411405E+13,2.395404E+13
9.030660E+10,3.382938E+13,3.357636E+13
1.427968E+11,4.746406E+13,4.706398E+13
2.257967E+11,6.660218E+13,6.596956E+13
3.570370E+11,9.254502E+13,9.246950E+13
3.970950E+11,9.540249E+13,9.531368E+13
4.463820E+11,9.865442E+13,9.854892E+13
5.013235E+11,1.020184E+14,1.018939E+14
5.625236E+11,1.054986E+14,1.053525E+14
6.307784E+11,1.090991E+14,1.089285E+14
7.065538E+11,1.128241E+14,1.126258E+14
7.910227E+11,1.166784E+14,1.164487E+14
8.847070E+11,1.206664E+14,1.204013E+14
9.887327E+11,1.247931E+14,1.244881E+14
1.104185E+12,1.290636E+14,1.287136E+14
1.231899E+12,1.334831E+14,1.330824E+14
1.373724E+12,1.380573E+14,1.375997E+14
1.530405E+12,1.427916E+14,1.422702E+14
1.703721E+12,1.476923E+14,1.470993E+14
1.895348E+12,1.527655E+14,1.520923E+14
2.106607E+12,1.580174E+14,1.572547E+14
2.340156E+12,1.634555E+14,1.625925E+14
2.597407E+12,1.690863E+14,1.681114E+14
2.880670E+12,1.749171E+14,1.738175E+14
3.192628E+12,1.809561E+14,1.797174E+14
3.535956E+12,1.872112E+14,1.858176E+14
3.913311E+12,1.936907E+14,1.921249E+14
4.327763E+12,2.004034E+14,1.986460E+14
4.782629E+12,2.073589E+14,2.053888E+14
5.269248E+12,2.145664E+14,2.123605E+14
5.791487E+12,2.220353E+14,2.195686E+14
6.356108E+12,2.297764E+14,2.270215E+14
6.967686E+12,2.378000E+14,2.347274E+14
7.630982E+12,2.461178E+14,2.426951E+14
8.350398E+12,2.547411E+14,2.509330E+14
9.131235E+12,2.636823E+14,2.594504E+14
9.978500E+12,2.729549E+14,2.682573E+14
1.089818E+13,2.825719E+14,2.773629E+14
1.189631E+13,2.925478E+14,2.867775E+14
1.297952E+13,3.028973E+14,2.965116E+14
1.415557E+13,3.136368E+14,3.065766E+14
1.543195E+13,3.247820E+14,3.169829E+14
1.681732E+13,3.363508E+14,3.277425E+14
1.832179E+13,3.483611E+14,3.388674E+14
1.995520E+13,3.608322E+14,3.503700E+14
2.172885E+13,3.737843E+14,3.622630E+14
2.365511E+13,3.872381E+14,3.745592E+14
2.574846E+13,4.012175E+14,3.872737E+14
2.802322E+13,4.157453E+14,4.004197E+14
3.049568E+13,4.308462E+14,4.140116E+14
3.318388E+13,4.465470E+14,4.280647E+14
3.610764E+13,4.628758E+14,4.425950E+14
3.928872E+13,4.798622E+14,4.576185E+14
4.275199E+13,4.975380E+14,4.731524E+14
4.652298E+13,5.159366E+14,4.892137E+14
5.063040E+13,5.350929E+14,5.058202E+14
5.510602E+13,5.550448E+14,5.229903E+14
5.998470E+13,5.758320E+14,5.407432E+14
6.500000E+13,9.540110E+14,9.517941E+14
7.000131E+13,9.590123E+14,9.564541E+14
7.538743E+13,9.643984E+14,9.614474E+14
8.118798E+13,9.701990E+14,9.667960E+14
8.743484E+13,9.764459E+14,9.725233E+14
9.416236E+13,9.831734E+14,9.786538E+14
1.014075E+14,9.904185E+14,9.852134E+14
1.092101E+14,9.982211E+14,9.922291E+14
1.176131E+14,1.006624E+15,9.997296E+14
1.266626E+14,1.015674E+15,1.007745E+15
1.364085E+14,1.025419E+15,1.016306E+15
1.469042E+14,1.035915E+15,1.025446E+15
1.582074E+14,1.047218E+15,1.035199E+15
1.703804E+14,1.059391E+15,1.045601E+15
1.834900E+14,1.072501E+15,1.056688E+15
1.976083E+14,1.086619E+15,1.068500E+15
2.128130E+14,1.101824E+15,1.081077E+15
