rhoc,M,R,Lambda
2.800000000000000000e+14,3.765846412841737934e-01,1.440002800000039329e+01,8.785139599016886204e+05
2.828035043804756250e+14,3.840226029577920586e-01,1.435002825000038840e+01,8.078601305087787332e+05
2.856070087609511875e+14,3.916823542001675595e-01,1.431002845000038448e+01,7.419618271814519539e+05
2.884105131414268125e+14,3.996406641513727265e-01,1.427002865000037879e+01,6.800944711715960875e+05
2.912140175219023750e+14,4.075085612070583618e-01,1.423002885000037487e+01,6.248786493170594331e+05
2.940175219023780000e+14,4.152780537826094021e-01,1.419002905000037096e+01,5.754534625530616613e+05
2.968210262828535625e+14,4.229483446417756642e-01,1.416002920000036625e+01,5.311374163767485879e+05
2.996245306633291875e+14,4.305184330943540583e-01,1.413002935000036331e+01,4.912605746868688730e+05
3.024280350438047500e+14,4.383566062350308101e-01,1.410002950000036037e+01,4.536210550926893484e+05
3.052315394242803750e+14,4.464937091039673511e-01,1.407002965000035744e+01,4.180700545918378630e+05
3.080350438047559375e+14,4.545317393743595336e-01,1.404002980000035450e+01,3.861197497044432093e+05
3.108385481852315625e+14,4.624716586641677285e-01,1.401002995000034979e+01,3.573395120415624697e+05
3.136420525657071250e+14,4.703088803114690020e-01,1.399003005000034783e+01,3.313551255966177559e+05
3.164455569461827500e+14,4.780454454894694227e-01,1.397003015000034587e+01,3.078420827117117587e+05
3.192490613266583125e+14,4.860672472766747187e-01,1.395003025000034391e+01,2.854886937637024675e+05
3.220525657071339375e+14,4.943573267681174999e-01,1.393003035000034195e+01,2.643616209410807933e+05
3.248560700876095000e+14,5.025458265072322295e-01,1.391003045000034000e+01,2.452626422924254148e+05
3.276595744680851250e+14,5.106312355117260671e-01,1.389003055000033626e+01,2.279537455746671185e+05
3.304630788485606875e+14,5.186167391268201587e-01,1.387003065000033430e+01,2.122431789661651128e+05
3.332665832290363125e+14,5.264976475096576625e-01,1.386003070000033333e+01,1.979500602703590994e+05
3.360700876095118750e+14,5.346866589170269357e-01,1.384003080000033137e+01,1.842744259559280763e+05
3.388735919899875000e+14,5.431063809705121148e-01,1.383003085000033039e+01,1.713351843186013866e+05
3.416770963704630625e+14,5.514252617987464022e-01,1.381003095000032843e+01,1.595868738610387954e+05
3.444806007509386875e+14,5.596444933473053718e-01,1.380003100000032745e+01,1.488860224553532898e+05
3.472841051314142500e+14,5.677546449275162610e-01,1.379003105000032647e+01,1.391256120772761060e+05
3.500876095118898750e+14,5.757645749620950992e-01,1.378003110000032549e+01,1.302129306768701645e+05
3.528911138923655000e+14,5.840996913226068621e-01,1.376003120000032176e+01,1.216250441875902616e+05
3.556946182728410625e+14,5.926280310901158588e-01,1.375003125000032078e+01,1.135109575244265434e+05
3.584981226533166250e+14,6.010575835108890042e-01,1.374003130000031980e+01,1.060996137412436656e+05
3.613016270337922500e+14,6.093809037710984366e-01,1.373003135000031882e+01,9.932493468894770194e+04
3.641051314142678750e+14,6.176008734758666741e-01,1.372003140000031784e+01,9.311588048302372044e+04
3.669086357947434375e+14,6.257171198749759133e-01,1.372003140000031784e+01,8.742114824415017210e+04
3.697121401752190000e+14,6.341698332706301455e-01,1.371003145000031687e+01,8.191384940696299600e+04
3.725156445556946250e+14,6.427856050295776003e-01,1.370003150000031589e+01,7.670424017243218259e+04
3.753191489361702500e+14,6.513021949819268741e-01,1.369003155000031491e+01,7.192955587196515989e+04
3.781226533166458125e+14,6.597090527089973788e-01,1.368003160000031393e+01,6.754416943711238855e+04
3.809261576971213750e+14,6.680132137954536420e-01,1.368003160000031393e+01,6.351347041470045224e+04
3.837296620775970000e+14,6.762115510796133933e-01,1.367003165000031295e+01,5.980115176467705896e+04
3.865331664580726250e+14,6.847586987531633085e-01,1.367003165000031295e+01,5.619519411738848430e+04
3.893366708385481875e+14,6.934417273333057796e-01,1.366003170000031197e+01,5.278308396378719044e+04
3.921401752190237500e+14,7.020186639688545949e-01,1.365003175000031099e+01,4.964469503774640179e+04
3.949436795994993750e+14,7.104863461363880583e-01,1.365003175000031099e+01,4.675238680099892372e+04
3.977471839799750000e+14,7.188550188856662748e-01,1.364003180000030824e+01,4.408511068620049627e+04
4.005506883604505625e+14,7.271145407762585888e-01,1.364003180000030824e+01,4.161857929891411914e+04
4.033541927409261875e+14,7.357304148280762179e-01,1.363003185000030726e+01,3.921275728808261920e+04
