rhoc,M,R,Lambda
2.800000000000000000e+14,5.812671165765898040e-01,1.530002350000049383e+01,1.094169721609948028e+05
2.828035043804756250e+14,5.908077307167705072e-01,1.528002360000049187e+01,1.013621183288407337e+05
2.856070087609511875e+14,6.001974720938717534e-01,1.526002370000048991e+01,9.410566926597661222e+04
2.884105131414268125e+14,6.097027379319202023e-01,1.524002380000048795e+01,8.737041273659341095e+04
2.912140175219023750e+14,6.192487346684069083e-01,1.522002390000048599e+01,8.116893936194511480e+04
2.940175219023780000e+14,6.286474966670140274e-01,1.521002395000048502e+01,7.556246834688818490e+04
2.968210262828535625e+14,6.379460237656345845e-01,1.519002405000048306e+01,7.045259531978884479e+04
2.996245306633291875e+14,6.475042135312236713e-01,1.517002415000047932e+01,6.561717747000430245e+04
3.024280350438047500e+14,6.569163511578894887e-01,1.516002420000047834e+01,6.122578263509687531e+04
3.052315394242803750e+14,6.661804199001171156e-01,1.515002425000047737e+01,5.723632507077664195e+04
3.080350438047559375e+14,6.755340317958086205e-01,1.513002435000047541e+01,5.351039231913700496e+04
3.108385481852315625e+14,6.849602805671103356e-01,1.512002440000047443e+01,5.003802354368685337e+04
3.136420525657071250e+14,6.942390613160239754e-01,1.511002445000047345e+01,4.687062432665147935e+04
3.164455569461827500e+14,7.033757699281025788e-01,1.509002455000047149e+01,4.397739296512096917e+04
3.192490613266583125e+14,7.127308388109460102e-01,1.508002460000047051e+01,4.122717149135450018e+04
3.220525657071339375e+14,7.220335005299611808e-01,1.507002465000046953e+01,3.868746945584003697e+04
3.248560700876095000e+14,7.311907585308720092e-01,1.506002470000046856e+01,3.636180345701392798e+04
3.276595744680851250e+14,7.402083301535717919e-01,1.505002475000046580e+01,3.422772786330150120e+04
3.304630788485606875e+14,7.495224380755066695e-01,1.504002480000046482e+01,3.217372989860115922e+04
3.332665832290363125e+14,7.587118151892873197e-01,1.503002485000046384e+01,3.028447111699708330e+04
3.360700876095118750e+14,7.677568315307442548e-01,1.502002490000046286e+01,2.854747187619299075e+04
3.388735919899875000e+14,7.766697848368107060e-01,1.501002495000046189e+01,2.694775649849340334e+04
3.416770963704630625e+14,7.858840721320698997e-01,1.500002500000046091e+01,2.540009467393847444e+04
3.444806007509386875e+14,7.949636268986811638e-01,1.499002505000045993e+01,2.397453666923778655e+04
3.472841051314142500e+14,8.039056703522734493e-01,1.498002510000045895e+01,2.265850427636998211e+04
3.500876095118898750e+14,8.127152695943573590e-01,1.498002510000045895e+01,2.144266130997279106e+04
3.528911138923655000e+14,8.217831481507512636e-01,1.497002515000045797e+01,2.026818155661218771e+04
3.556946182728410625e+14,8.307638207588395884e-01,1.496002520000045699e+01,1.917616990567931498e+04
3.584981226533166250e+14,8.396075268681987280e-01,1.495002525000045601e+01,1.816611194774402975e+04
3.613016270337922500e+14,8.483233087911552506e-01,1.494002530000045503e+01,1.722938168079900788e+04
3.641051314142678750e+14,8.571886593525476217e-01,1.494002530000045503e+01,1.633181737358240207e+04
3.669086357947434375e+14,8.660795043841992280e-01,1.493002535000045405e+01,1.548510870018224705e+04
3.697121401752190000e+14,8.748380931868682264e-01,1.492002540000045130e+01,1.469942353345352785e+04
3.725156445556946250e+14,8.834597641747211627e-01,1.491002545000045032e+01,1.396927403924711689e+04
3.753191489361702500e+14,8.920826670089454513e-01,1.491002545000045032e+01,1.328032061931613498e+04
3.781226533166458125e+14,9.008853692541665126e-01,1.490002550000044934e+01,1.261577539850621542e+04
3.809261576971213750e+14,9.095658003673156022e-01,1.489002555000044836e+01,1.199706821400617810e+04
3.837296620775970000e+14,9.181170680803114603e-01,1.489002555000044836e+01,1.142071939722354000e+04
3.865331664580726250e+14,9.265421923644364677e-01,1.488002560000044738e+01,1.088320611192114302e+04
3.893366708385481875e+14,9.351591208904049823e-01,1.487002565000044640e+01,1.036275410724507674e+04
3.921401752190237500e+14,9.437622518163026886e-01,1.487002565000044640e+01,9.870684570510167759e+03
3.949436795994993750e+14,9.522429834665381287e-01,1.486002570000044543e+01,9.411469503570555389e+03
3.977471839799750000e+14,9.606040334206068509e-01,1.485002575000044445e+01,8.981627418364125333e+03
4.005506883604505625e+14,9.688577816380612440e-01,1.485002575000044445e+01,8.578655842582862533e+03
4.033541927409261875e+14,9.773920433314785550e-01,1.484002580000044347e+01,8.183092302597528942e+03
4.061576971214017500e+14,9.858086413920805757e-01,1.483002585000044249e+01,7.812948714481190109e+03
4.089612015018773750e+14,9.941034005744173729e-01,1.483002585000044249e+01,7.466366252058040118e+03
4.117647058823529375e+14,1.002286192868570236e+00,1.482002590000044151e+01,7.141296402930012846e+03
4.145682102628285625e+14,1.010427397998342025e+00,1.481002595000044053e+01,6.833080459863599572e+03
4.173717146433041250e+14,1.018787909251665846e+00,1.481002595000044053e+01,6.532197856644715102e+03
4.201752190237797500e+14,1.027028417863438570e+00,1.480002600000043778e+01,6.249653341333812023e+03
4.229787234042553750e+14,1.035153182804734895e+00,1.479002605000043680e+01,5.984303075660345712e+03
4.257822277847309375e+14,1.043164827931589933e+00,1.479002605000043680e+01,5.734950296705505025e+03
